set_id,min_date,max_date,time_to_request_all_data,tp_sum
1,2007-06-21 10:00:00+00:00,2021-09-27 11:30:00+00:00,0.08862638473510742 seconds,9657846.0
2,2007-06-21 01:00:00+00:00,2021-12-31 23:30:00+00:00,0.08962106704711914 seconds,9146511.0
3,2007-10-29 17:00:00+00:00,2018-04-09 11:50:00+00:00,0.08883190155029297 seconds,1068029.18
4,1986-02-01 00:00:00+00:00,1995-04-03 12:00:00+00:00,0.06975793838500977 seconds,1131676.6
5,1973-12-01 01:00:00+00:00,2021-12-31 23:50:00+00:00,0.4664120674133301 seconds,20393140.499999996
6,1978-06-27 13:00:00+00:00,2021-12-31 23:50:00+00:00,0.42301487922668457 seconds,22377179.37
7,1982-05-26 17:00:00+00:00,1996-04-21 23:00:00+00:00,0.10108399391174316 seconds,927322.3900000001
8,1988-03-15 11:00:00+00:00,2021-12-31 22:50:00+00:00,0.2788259983062744 seconds,2215089.78
9,1988-08-09 05:00:00+00:00,2021-12-31 23:50:00+00:00,0.7376260757446289 seconds,29572109.26999999
10,1988-11-10 18:00:00+00:00,2021-12-31 23:50:00+00:00,0.6980142593383789 seconds,25075680.69
11,2002-06-25 19:00:00+00:00,2014-02-19 12:50:00+00:00,0.12591099739074707 seconds,1475045.6700000002
12,2003-11-10 23:00:00+00:00,2021-12-31 23:50:00+00:00,0.5224628448486328 seconds,28524076.120000005
13,2005-02-23 16:00:00+00:00,2021-12-31 23:08:00+00:00,0.16223406791687012 seconds,11180070.0
14,2003-03-28 19:00:00+00:00,2021-12-31 23:50:00+00:00,0.3570671081542969 seconds,15969893.159999998
15,2005-02-23 16:00:00+00:00,2021-12-31 23:08:00+00:00,0.15363812446594238 seconds,11834425.0
16,2005-02-23 15:00:00+00:00,2021-12-31 23:08:00+00:00,0.11401510238647461 seconds,10231650.0
17,2006-07-06 21:00:00+00:00,2015-01-12 20:50:00+00:00,0.1525731086730957 seconds,2674446.8899999997
18,2005-07-12 01:00:00+00:00,2021-12-31 23:08:00+00:00,0.11195802688598633 seconds,11214126.0
19,2005-07-12 00:00:00+00:00,2021-12-31 23:08:00+00:00,0.18273687362670898 seconds,14459049.0
20,2005-05-30 17:00:00+00:00,2021-12-31 23:50:00+00:00,0.36798906326293945 seconds,18224336.41
21,2005-05-28 15:00:00+00:00,2021-07-16 19:00:00+00:00,0.25226306915283203 seconds,11526475.280000001
22,2007-04-11 16:00:00+00:00,2021-12-31 23:50:00+00:00,0.4099080562591553 seconds,25496165.99000001
23,2009-05-12 03:50:00+00:00,2021-12-31 23:50:00+00:00,0.37314510345458984 seconds,25424592.960000005
24,2007-09-22 07:00:00+00:00,2021-12-31 23:50:00+00:00,0.39688897132873535 seconds,25421851.349999998
25,2007-09-21 06:00:00+00:00,2021-12-31 23:50:00+00:00,0.33672380447387695 seconds,23868542.100000005
26,2007-09-18 07:00:00+00:00,2021-12-31 23:50:00+00:00,0.2803521156311035 seconds,19261794.7
27,2009-05-14 16:50:00+00:00,2021-12-31 23:50:00+00:00,0.26288628578186035 seconds,17347064.499999996
28,2011-04-15 16:50:00+00:00,2021-12-31 23:50:00+00:00,0.5133659839630127 seconds,41375211.900000006
29,2010-07-26 14:10:00+00:00,2021-12-31 23:50:00+00:00,0.5591268539428711 seconds,46565887.499999985
30,2008-05-07 20:21:00+00:00,2021-12-31 23:56:00+00:00,0.2568016052246094 seconds,1691264.6199999999
31,2006-03-01 00:00:00+00:00,2021-12-31 23:30:00+00:00,0.2663569450378418 seconds,2022303.0799999998
32,2006-09-27 20:00:00+00:00,2021-12-31 23:56:00+00:00,0.2635352611541748 seconds,2069530.1900000002
33,2006-10-04 00:00:00+00:00,2021-12-25 19:26:00+00:00,0.25844287872314453 seconds,2165689.6100000003
34,2011-05-03 12:35:00+00:00,2021-12-31 23:56:00+00:00,0.17867708206176758 seconds,1447996.1099999999
35,1975-08-13 22:00:00+00:00,2021-07-25 13:50:00+00:00,0.4720029830932617 seconds,18628501.32
36,1973-06-22 00:00:00+00:00,2021-12-31 23:50:00+00:00,0.47096800804138184 seconds,14589576.520000003
37,1976-11-20 15:00:00+00:00,2021-12-01 01:50:00+00:00,0.5357058048248291 seconds,20766001.859999996
38,1981-01-16 13:00:00+00:00,2009-12-09 11:50:00+00:00,0.2561221122741699 seconds,7891236.1899999995
39,1983-08-09 20:00:00+00:00,2021-12-31 23:50:00+00:00,0.28452205657958984 seconds,17256688.81
40,2004-01-01 00:00:00+00:00,2021-12-31 23:30:00+00:00,0.2203812599182129 seconds,20443599.0
41,1990-05-25 04:00:00+00:00,2021-12-31 23:50:00+00:00,0.34659695625305176 seconds,14780879.080000004
42,1990-05-24 16:00:00+00:00,2021-12-31 23:50:00+00:00,0.3842930793762207 seconds,14197272.3
43,2004-03-23 06:00:00+00:00,2021-12-23 16:30:00+00:00,0.1580967903137207 seconds,14562801.0
44,2004-07-01 00:00:00+00:00,2021-12-31 23:30:00+00:00,0.1618340015411377 seconds,15160563.0
45,1993-05-05 17:00:00+00:00,2021-12-31 23:50:00+00:00,0.3948369026184082 seconds,17188226.8
46,1994-01-01 01:00:00+00:00,2021-12-31 23:50:00+00:00,0.3450949192047119 seconds,13712659.73
47,1995-12-12 18:00:00+00:00,2021-12-31 23:50:00+00:00,0.3360168933868408 seconds,12520631.299999999
48,1995-12-04 22:00:00+00:00,2021-12-31 23:50:00+00:00,0.4343087673187256 seconds,24419047.26
49,2004-01-01 00:00:00+00:00,2021-05-03 13:00:00+00:00,0.1603550910949707 seconds,14549931.0
50,2010-03-25 07:30:00+00:00,2020-12-08 17:00:00+00:00,0.0672762393951416 seconds,7664184.0
51,2004-01-01 00:00:00+00:00,2021-06-02 17:00:00+00:00,0.18050694465637207 seconds,17884647.0
52,2004-03-01 00:00:00+00:00,2016-11-10 04:30:00+00:00,0.15216779708862305 seconds,14634972.0
53,2004-09-01 00:00:00+00:00,2019-02-23 05:00:00+00:00,0.1362931728363037 seconds,14336487.0
54,2005-05-10 22:00:00+00:00,2021-12-31 23:50:00+00:00,0.3085591793060303 seconds,17011876.529999997
55,2005-05-03 20:00:00+00:00,2021-12-31 23:50:00+00:00,0.3511631488800049 seconds,23348068.71999999
56,2005-06-06 03:00:00+00:00,2020-12-12 16:50:00+00:00,0.26986193656921387 seconds,17017917.530000005
57,2005-06-08 10:00:00+00:00,2021-09-24 15:50:00+00:00,0.240556001663208 seconds,14139385.78
